dataset,id,kind,name,L1,L2,L3,L4,absent,sent_indices
kaiser,AirTravel,class,Airline,True,True,True,True,False,11;12
kaiser,AirTravel,class,Employee,False,False,False,False,True,
kaiser,AirTravel,class,Airport,True,True,True,True,False,18;19
kaiser,AirTravel,class,FlightAttendant,True,True,True,True,False,1;2;4;12;13;15;19
kaiser,AirTravel,class,Airplane,False,False,False,False,True,
kaiser,AirTravel,class,Flight,True,True,True,True,False,1;2;4;12;13;15;19
kaiser,AirTravel,class,Pilot,True,True,True,True,False,16
kaiser,AirTravel,class,PassengerPlane,True,True,True,True,False,3;6;8
kaiser,AirTravel,class,FlightExecution,True,True,True,True,False,1;2;4;12;13;15;19
kaiser,AirTravel,class,SeatCategory,True,True,True,True,False,8;9;10
kaiser,AirTravel,class,Passenger,True,True,True,True,False,3;6;8
kaiser,AirTravel,class,Ticket,True,True,True,True,False,4;10
kaiser,AirTravel,attribute,Airline.Name,True,True,True,True,False,0;11;13;14;17
kaiser,AirTravel,attribute,Employee.Nmae,False,False,False,False,True,
kaiser,AirTravel,attribute,Employee.StartDate,True,True,True,True,False,0;1;13;14
kaiser,AirTravel,attribute,Airport.Name,True,True,True,True,False,0;11;13;14;17
kaiser,AirTravel,attribute,Airport.Address,True,True,True,True,False,17
kaiser,AirTravel,attribute,Airport.RunwayCount,False,True,False,True,False,
kaiser,AirTravel,attribute,FlightAttendant.Purser,False,False,False,False,True,
kaiser,AirTravel,attribute,Airplane.Name,True,True,True,True,False,0;11;13;14;17
kaiser,AirTravel,attribute,Airplane.Type,True,True,True,True,False,0
kaiser,AirTravel,attribute,Airplane.ConstructionYear,True,True,True,True,False,0
kaiser,AirTravel,attribute,Airplane.NextInspection,True,True,True,True,False,0
kaiser,AirTravel,attribute,Flight.FlightNumber,True,True,True,True,False,1;2;4;7;12;13;15;17;19
kaiser,AirTravel,attribute,Pilot.License,True,True,True,True,False,14
kaiser,AirTravel,attribute,PassengerPlane.Seats,True,True,True,True,False,7;9
kaiser,AirTravel,attribute,FlightExecution.Date,True,True,True,True,False,0;1;13;14
kaiser,AirTravel,attribute,SeatCategory.Description,False,False,False,False,True,
kaiser,AirTravel,attribute,SeatCategory.Enterainment,False,False,False,False,True,
kaiser,AirTravel,attribute,SeatCategory.SeatCount,True,True,True,True,False,8;10
kaiser,AirTravel,attribute,Passenger.Name,True,True,True,True,False,0;11;13;14;17
kaiser,AirTravel,attribute,Passenger.PassportNumber,True,True,True,True,False,1;2;4;7;17
kaiser,AirTravel,attribute,Ticket.TicketId,True,True,True,True,False,4;10
kaiser,AirTravel,attribute,Ticket.Price,True,True,True,True,False,4
kaiser,AirTravel,attribute,Ticket.Upgrade,True,True,True,True,False,5
kaiser,AirTravel,rel_endpoint,Airline-(association)->Employee,True,True,True,True,False,11;12
kaiser,AirTravel,rel_endpoint,Airline-(association)->Employee (tgt),False,False,False,False,True,
kaiser,AirTravel,rel_endpoint,Airline-(aggregation)->Airplane,True,True,True,True,False,11;12
kaiser,AirTravel,rel_endpoint,Airline-(aggregation)->Airplane (tgt),False,False,False,False,True,
kaiser,AirTravel,rel_endpoint,Airplane-(association)->Airport,False,False,False,False,True,
kaiser,AirTravel,rel_endpoint,Airplane-(association)->Airport (tgt),True,True,True,True,False,18;19
kaiser,AirTravel,rel_endpoint,Airplane-(association)->FlightExecution,False,False,False,False,True,
kaiser,AirTravel,rel_endpoint,Airplane-(association)->FlightExecution (tgt),True,True,True,True,False,1;2;4;12;13;15;19
kaiser,AirTravel,rel_endpoint,Airport-(association)->Flight,True,True,True,True,False,18;19
kaiser,AirTravel,rel_endpoint,Airport-(association)->Flight (tgt),True,True,True,True,False,1;2;4;12;13;15;19
kaiser,AirTravel,rel_endpoint,Airport-(association)->Flight,True,True,True,True,False,18;19
kaiser,AirTravel,rel_endpoint,Airport-(association)->Flight (tgt),True,True,True,True,False,1;2;4;12;13;15;19
kaiser,AirTravel,rel_endpoint,Flight-(association)->FlightExecution,True,True,True,True,False,1;2;4;12;13;15;19
kaiser,AirTravel,rel_endpoint,Flight-(association)->FlightExecution (tgt),True,True,True,True,False,1;2;4;12;13;15;19
kaiser,AirTravel,rel_endpoint,FlightExecution-(association)->FlightAttendant,True,True,True,True,False,1;2;4;12;13;15;19
kaiser,AirTravel,rel_endpoint,FlightExecution-(association)->FlightAttendant (tgt),True,True,True,True,False,1;2;4;12;13;15;19
kaiser,AirTravel,rel_endpoint,FlightExecution-(association)->Pilot,True,True,True,True,False,1;2;4;12;13;15;19
kaiser,AirTravel,rel_endpoint,FlightExecution-(association)->Pilot (tgt),True,True,True,True,False,16
kaiser,AirTravel,rel_endpoint,FlightExecution-(association)->Pilot,True,True,True,True,False,1;2;4;12;13;15;19
kaiser,AirTravel,rel_endpoint,FlightExecution-(association)->Pilot (tgt),True,True,True,True,False,16
kaiser,AirTravel,rel_endpoint,FlightExecution-(association)->Passenger,True,True,True,True,False,1;2;4;12;13;15;19
kaiser,AirTravel,rel_endpoint,FlightExecution-(association)->Passenger (tgt),True,True,True,True,False,3;6;8
kaiser,AirTravel,rel_endpoint,Employee-(inheritance)->FlightAttendant,False,False,False,False,True,
kaiser,AirTravel,rel_endpoint,Employee-(inheritance)->FlightAttendant (tgt),True,True,True,True,False,1;2;4;12;13;15;19
kaiser,AirTravel,rel_endpoint,Employee-(inheritance)->Pilot,False,False,False,False,True,
kaiser,AirTravel,rel_endpoint,Employee-(inheritance)->Pilot (tgt),True,True,True,True,False,16
kaiser,AirTravel,rel_endpoint,Airplane-(inheritance)->PassengerPlane,False,False,False,False,True,
kaiser,AirTravel,rel_endpoint,Airplane-(inheritance)->PassengerPlane (tgt),True,True,True,True,False,3;6;8
kaiser,AirTravel,rel_endpoint,PassengerPlane-(composition)->SeatCategory,True,True,True,True,False,3;6;8
kaiser,AirTravel,rel_endpoint,PassengerPlane-(composition)->SeatCategory (tgt),True,True,True,True,False,8;9;10
kaiser,AirTravel,rel_endpoint,SeatCategory-(association)->Ticket,True,True,True,True,False,8;9;10
kaiser,AirTravel,rel_endpoint,SeatCategory-(association)->Ticket (tgt),True,True,True,True,False,4;10
kaiser,AirTravel,rel_endpoint,FlightExecution-(dependency)->Ticket,True,True,True,True,False,1;2;4;12;13;15;19
kaiser,AirTravel,rel_endpoint,FlightExecution-(dependency)->Ticket (tgt),True,True,True,True,False,4;10
kaiser,AirTravel,rel_endpoint,FlightExecution-(dependency)->Passenger,True,True,True,True,False,1;2;4;12;13;15;19
kaiser,AirTravel,rel_endpoint,FlightExecution-(dependency)->Passenger (tgt),True,True,True,True,False,3;6;8
kaiser,AlphaInsurance,class,Customer,True,True,True,True,False,1;2;3;4;5;7;13
kaiser,AlphaInsurance,class,InsurancePolicy,True,True,True,True,False,0;1;3;4;6
kaiser,AlphaInsurance,class,Contract,True,True,True,True,False,2;4;5;6
kaiser,AlphaInsurance,class,Invoice,False,True,False,True,False,
kaiser,AlphaInsurance,class,Broker,True,True,True,True,False,1;2;3
kaiser,AlphaInsurance,class,Claim,True,True,True,True,False,7;8;11
kaiser,AlphaInsurance,class,ClaimCase,True,True,True,True,False,3;7;8;9;10;11;12
kaiser,AlphaInsurance,class,Report,False,True,False,True,False,
kaiser,AlphaInsurance,class,Estimator,False,True,False,True,False,
kaiser,AlphaInsurance,class,CompensationPayment,True,True,True,True,False,7;12;13;14
kaiser,AlphaInsurance,attribute,Customer.Name,False,False,False,True,False,
kaiser,AlphaInsurance,attribute,Customer.email,True,True,True,True,False,4
kaiser,AlphaInsurance,attribute,InsurancePolicy.Type,True,True,True,True,False,3
kaiser,AlphaInsurance,attribute,InsurancePolicy.MonthlyPrice,True,True,True,True,False,6
kaiser,AlphaInsurance,attribute,InsurancePolicy.YearlyPrice,True,True,True,True,False,6
kaiser,AlphaInsurance,attribute,Contract.Status,False,False,False,False,True,
kaiser,AlphaInsurance,attribute,Contract.InvoiceFrequency,False,True,False,True,False,
kaiser,AlphaInsurance,attribute,Broker.Name,False,False,False,True,False,
kaiser,AlphaInsurance,attribute,Claim.CompensationTotal,True,True,True,True,False,7;12;13;14
kaiser,AlphaInsurance,attribute,ClaimCase.Status,False,False,False,False,True,
kaiser,AlphaInsurance,attribute,ClaimCase.CompensationDecision,True,True,True,True,False,7;12;13;14
kaiser,AlphaInsurance,attribute,Estimator.AreaOfExpertise,True,True,True,True,False,0;3;6;9;10;12;13;14
kaiser,AlphaInsurance,attribute,CompensationPayment.PaymentDate,True,True,True,True,False,14
kaiser,AlphaInsurance,rel_endpoint,Customer-(association)->Contract,True,True,True,True,False,1;2;3;4;5;7;13
kaiser,AlphaInsurance,rel_endpoint,Customer-(association)->Contract (tgt),True,True,True,True,False,2;4;5;6
kaiser,AlphaInsurance,rel_endpoint,Contract-(association)->Invoice,True,True,True,True,False,2;4;5;6
kaiser,AlphaInsurance,rel_endpoint,Contract-(association)->Invoice (tgt),False,True,False,True,False,
kaiser,AlphaInsurance,rel_endpoint,InsurancePolicy-(association)->Contract,True,True,True,True,False,0;1;3;4;6
kaiser,AlphaInsurance,rel_endpoint,InsurancePolicy-(association)->Contract (tgt),True,True,True,True,False,2;4;5;6
kaiser,AlphaInsurance,rel_endpoint,Contract-(association)->ClaimCase,True,True,True,True,False,2;4;5;6
kaiser,AlphaInsurance,rel_endpoint,Contract-(association)->ClaimCase (tgt),True,True,True,True,False,3;7;8;9;10;11;12
kaiser,AlphaInsurance,rel_endpoint,Customer-(association)->Claim,True,True,True,True,False,1;2;3;4;5;7;13
kaiser,AlphaInsurance,rel_endpoint,Customer-(association)->Claim (tgt),True,True,True,True,False,7;8;11
kaiser,AlphaInsurance,rel_endpoint,Claim-(association)->ClaimCase,True,True,True,True,False,7;8;11
kaiser,AlphaInsurance,rel_endpoint,Claim-(association)->ClaimCase (tgt),True,True,True,True,False,3;7;8;9;10;11;12
kaiser,AlphaInsurance,rel_endpoint,ClaimCase-(association)->CompensationPayment,True,True,True,True,False,3;7;8;9;10;11;12
kaiser,AlphaInsurance,rel_endpoint,ClaimCase-(association)->CompensationPayment (tgt),True,True,True,True,False,7;12;13;14
kaiser,AlphaInsurance,rel_endpoint,Estimator-(association)->ClaimCase,False,True,False,True,False,
kaiser,AlphaInsurance,rel_endpoint,Estimator-(association)->ClaimCase (tgt),True,True,True,True,False,3;7;8;9;10;11;12
kaiser,AlphaInsurance,rel_endpoint,ClaimCase-(dependency)->Report,True,True,True,True,False,3;7;8;9;10;11;12
kaiser,AlphaInsurance,rel_endpoint,ClaimCase-(dependency)->Report (tgt),False,True,False,True,False,
