dataset,id,n_chars,n_words,n_sentences,n_unique_words_lower,type_token_ratio,avg_word_length,avg_sentence_length_words,spacy_n_tokens,spacy_n_sents_spacy,spacy_n_nsubj,spacy_n_nsubjpass,spacy_n_dobj,spacy_n_verbs,spacy_n_nouns,spacy_n_adjectives,spacy_n_noun_chunks,spacy_n_entities,spacy_entity_types,spacy_passive_ratio,spacy_avg_dep_children_per_token,spacy_avg_dep_path_length,spacy_n_unique_lemmas,style_passive_nsubjpass,style_active_nsubj,style_modal_count,style_hedge_count,style_named_entities,style_passive_ratio,style_hedge_density,style_modal_density,style_entity_density,n_classes,n_enums,n_implicit_classes,n_attributes,n_relationships,n_rels_with_card,n_rels_with_label,n_rels_association,n_rels_aggregation,n_rels_inheritance,n_rels_composition,n_rels_dependency,cov_classes_n,cov_classes_L1,cov_classes_L2,cov_classes_L3,cov_classes_L4,cov_classes_absent,cov_attrs_n,cov_attrs_L1,cov_attrs_L2,cov_attrs_L3,cov_attrs_L4,cov_attrs_absent,cov_enum_n,cov_enum_absent,cov_rel_src_absent,cov_rel_tgt_absent,n_attrs_total,n_attrs_bound,pct_attrs_bound,n_rels_total,n_rels_bound,pct_rels_bound,avg_hop_class_attr,avg_hop_rel,time_diagram_s,time_idx_s,time_match_s,time_class_attr_s,time_rel_s,time_depgraph_s,n_parser_warnings,n_rels_directed,n_rels_association_class
kaiser,AirTravel,1476,247,20,96,0.3887,4.814,12.35,292,20,14,12,9,26,96,11,83,3,CARDINAL:3,0.8571,0.932,32.0,84,12,14,4,4,3,0.4615,0.0137,0.0137,0.0103,12,0,0,23,18,13,4,11.0,1.0,3.0,1.0,2.0,12,83.33,83.33,83.33,83.33,16.67,23,78.26,82.61,78.26,82.61,17.39,0,0.0,27.78,27.78,23,11,47.83,18,8,44.44,2.586,2.0,0.0034,1.4364,0.0023,0.1933,0.036,0.0324,0,,
kaiser,AlphaInsurance,2046,345,17,161,0.4667,4.788,20.29,391,15,19,16,8,44,104,17,87,6,CARDINAL:1;DATE:2;ORDINAL:1;ORG:2,0.8421,0.962,32.0,146,16,19,6,6,6,0.4571,0.0153,0.0153,0.0153,10,0,0,13,11,9,0,9.0,,,,2.0,10,70.0,100.0,70.0,100.0,0.0,13,61.54,69.23,61.54,84.62,15.38,0,0.0,0.0,0.0,13,8,61.54,11,10,90.91,2.154,3.4,0.0004,0.0762,0.0029,0.149,0.0442,0.0409,0,,
kaiser,BankAccount,616,109,10,55,0.5046,4.56,10.9,121,10,7,2,6,12,39,10,33,5,CARDINAL:3;ORDINAL:1;PERSON:1,0.2857,0.917,32.0,50,2,7,0,0,5,0.2222,0.0,0.0,0.0413,6,0,0,5,5,3,0,1.0,1.0,2.0,,,6,83.33,100.0,83.33,100.0,0.0,5,100.0,100.0,100.0,100.0,0.0,0,0.0,0.0,0.0,5,5,100.0,5,5,100.0,1.5,1.8,0.0002,0.0227,0.0007,0.0245,0.0152,0.0134,0,1.0,
kaiser,Boeing,1367,214,11,124,0.5794,5.224,19.45,250,11,12,6,7,26,71,19,60,5,ORDINAL:1;ORG:4,0.5,0.956,32.0,113,6,12,3,4,5,0.3333,0.016,0.012,0.02,6,0,0,10,6,6,2,6.0,,,,,6,100.0,100.0,100.0,100.0,0.0,10,70.0,70.0,70.0,90.0,10.0,0,0.0,0.0,0.0,10,7,70.0,6,6,100.0,2.048,1.833,0.0002,0.0477,0.0007,0.0544,0.0286,0.0275,0,,
kaiser,BuildingManagement,1985,332,24,158,0.4759,4.822,13.83,380,20,15,7,18,36,117,25,92,4,CARDINAL:2;DATE:1;ORG:1,0.4667,0.947,32.0,136,7,15,7,7,4,0.3182,0.0184,0.0184,0.0105,10,1,1,17,11,8,5,,,3.0,1.0,,10,90.0,100.0,90.0,100.0,0.0,17,76.47,76.47,76.47,76.47,23.53,4,0.0,0.0,0.0,17,12,70.59,11,9,81.82,2.286,1.6,0.0005,0.0664,0.0018,0.1726,0.0453,0.0454,0,7.0,
kaiser,BusTransportationManagementSystem,1835,345,19,128,0.371,4.194,18.16,390,17,18,10,10,31,119,20,89,12,CARDINAL:2;DATE:6;ORG:1;PRODUCT:1;TIME:2,0.5556,0.956,32.0,111,10,18,5,5,12,0.3571,0.0128,0.0128,0.0308,6,0,0,8,4,4,0,4.0,,,,,6,100.0,100.0,100.0,100.0,0.0,8,87.5,87.5,87.5,87.5,12.5,0,0.0,0.0,0.0,8,7,87.5,4,4,100.0,2.034,1.0,0.0002,0.0665,0.0005,0.1296,0.0443,0.0418,0,,
kaiser,CardGameApp,922,171,12,86,0.5029,4.257,14.25,198,12,16,2,7,15,61,14,56,5,CARDINAL:3;NORP:1;PERSON:1,0.125,0.939,32.0,78,2,16,4,4,5,0.1111,0.0202,0.0202,0.0253,10,3,3,10,13,7,0,,,3.0,,,10,90.0,90.0,90.0,90.0,10.0,10,80.0,100.0,80.0,100.0,0.0,10,0.0,7.69,7.69,10,2,20.0,13,10,76.92,0.857,1.5,0.0003,0.0357,0.001,0.0638,0.027,0.0217,0,10.0,
kaiser,CelO,2766,481,27,160,0.3326,4.615,17.81,547,23,37,8,31,59,136,21,127,5,CARDINAL:1;ORDINAL:2;ORG:2,0.2162,0.958,32.0,135,8,37,23,20,5,0.1778,0.0366,0.042,0.0091,10,2,0,15,14,8,0,8.0,,2.0,,4.0,10,70.0,70.0,70.0,80.0,20.0,15,93.33,93.33,93.33,93.33,6.67,8,25.0,7.14,7.14,15,12,80.0,14,8,57.14,2.3,2.1,0.0004,0.0792,0.0013,0.3357,0.068,0.0559,0,,
kaiser,ClothingCompany,1361,218,13,119,0.5459,5.078,16.77,256,13,18,4,14,25,72,12,71,3,ORDINAL:1;ORG:2,0.2222,0.949,32.0,104,4,18,3,1,3,0.1818,0.0039,0.0117,0.0117,7,0,0,22,10,8,7,8.0,,,,2.0,7,71.43,71.43,71.43,71.43,28.57,22,95.45,95.45,95.45,95.45,4.55,0,0.0,40.0,40.0,22,15,68.18,10,5,50.0,2.371,2.6,0.0004,0.0445,0.0009,0.0862,0.0285,0.0269,0,,
kaiser,Cruise,1169,221,16,85,0.3846,4.154,13.81,256,16,16,10,14,26,73,13,69,1,CARDINAL:1,0.625,0.938,32.0,78,10,16,4,4,1,0.3846,0.0156,0.0156,0.0039,9,0,1,22,9,9,0,9.0,,,,,9,88.89,100.0,88.89,100.0,0.0,22,81.82,90.91,81.82,90.91,9.09,0,0.0,33.33,33.33,22,11,50.0,9,5,55.56,2.48,3.0,0.0003,0.037,0.0007,0.1161,0.0279,0.0266,0,,
kaiser,DestroyBlockGame,3424,674,41,189,0.2804,3.984,16.44,742,39,42,13,30,68,206,34,180,18,CARDINAL:11;DATE:1;ORDINAL:1;ORG:3;PRODUCT:1;QUANTITY:1,0.3095,0.947,32.0,157,13,42,8,8,18,0.2364,0.0108,0.0108,0.0243,14,0,0,32,19,19,15,10.0,,,8.0,,14,100.0,100.0,100.0,92.86,0.0,32,78.12,78.12,78.12,75.0,21.88,0,0.0,0.0,0.0,32,24,75.0,19,17,89.47,1.935,1.471,0.0006,0.1068,0.0033,1.8667,0.1118,0.0791,0,1.0,
kaiser,EUScienceConnect,2038,320,25,143,0.4469,5.228,12.8,372,19,22,8,17,37,113,26,95,7,CARDINAL:2;ORG:5,0.3636,0.949,32.0,126,8,22,8,5,7,0.2667,0.0134,0.0215,0.0188,8,0,0,11,11,7,6,7.0,,2.0,,2.0,8,100.0,100.0,100.0,100.0,0.0,11,100.0,100.0,100.0,90.91,0.0,0,0.0,0.0,0.0,11,10,90.91,11,9,81.82,2.087,2.5,0.0003,0.0606,0.0012,0.1294,0.0433,0.0388,0,,
kaiser,Ebike,724,124,9,68,0.5484,4.661,13.78,156,10,5,6,6,16,38,7,32,7,CARDINAL:4;ORG:3,1.2,0.936,32.0,66,6,5,4,4,7,0.5455,0.0256,0.0256,0.0449,9,1,1,9,10,0,8,,,2.0,,,9,88.89,100.0,88.89,88.89,0.0,9,88.89,100.0,88.89,100.0,0.0,3,0.0,0.0,0.0,9,7,77.78,10,8,80.0,2.065,2.375,0.0003,0.029,0.0007,0.0388,0.0189,0.0169,0,8.0,
kaiser,Facepage,2131,363,27,163,0.449,4.713,13.44,426,23,28,7,21,44,117,25,107,10,CARDINAL:2;DATE:1;LOC:1;ORDINAL:1;ORG:5,0.25,0.946,32.0,149,7,28,9,7,10,0.2,0.0164,0.0211,0.0235,9,0,0,12,12,6,3,6.0,,4.0,,2.0,9,88.89,100.0,88.89,100.0,0.0,12,100.0,100.0,100.0,100.0,0.0,0,0.0,0.0,0.0,12,11,91.67,12,9,75.0,2.049,1.0,0.0003,0.0655,0.001,0.311,0.0637,0.0442,0,,
kaiser,FilmSet,1431,249,18,110,0.4418,4.61,13.83,287,18,11,14,6,32,81,12,75,2,PERSON:1;WORK_OF_ART:1,1.2727,0.937,32.0,99,14,11,4,3,2,0.56,0.0105,0.0139,0.007,11,1,0,18,15,9,4,9.0,,4.0,,2.0,11,90.91,90.91,90.91,90.91,9.09,18,94.44,94.44,94.44,94.44,5.56,4,0.0,6.67,6.67,18,13,72.22,15,11,73.33,1.944,2.333,0.0004,0.0452,0.0014,0.1528,0.0356,0.0298,0,,
kaiser,FitnessCompanyConan,1631,280,28,117,0.4179,4.618,10.0,334,18,20,5,14,29,91,19,83,13,CARDINAL:5;DATE:2;GPE:3;ORDINAL:2;TIME:1,0.25,0.946,32.0,101,5,20,9,9,13,0.2,0.0269,0.0269,0.0389,8,0,0,10,9,5,2,5.0,,4.0,,,8,87.5,100.0,87.5,100.0,0.0,10,90.0,90.0,90.0,90.0,10.0,0,0.0,0.0,0.0,10,9,90.0,9,8,88.89,2.5,1.625,0.0003,0.049,0.0008,0.1206,0.0402,0.0352,0,,
kaiser,GameArea,954,173,12,96,0.5549,4.405,14.42,194,12,8,2,13,21,65,6,49,8,CARDINAL:6;ORG:1;PERSON:1,0.25,0.938,32.0,86,2,8,2,2,8,0.2,0.0103,0.0103,0.0412,6,0,0,4,7,4,2,1.0,2.0,3.0,,,6,66.67,83.33,66.67,83.33,16.67,4,100.0,100.0,100.0,100.0,0.0,0,0.0,0.0,0.0,4,4,100.0,7,4,57.14,2.5,0.25,0.0002,0.043,0.0005,0.0406,0.0245,0.0209,0,1.0,
kaiser,GasStation_KUL,2643,478,27,200,0.4184,4.414,17.7,537,25,30,16,24,63,127,28,114,13,CARDINAL:1;DATE:7;ORDINAL:3;PERCENT:1;TIME:1,0.5333,0.953,32.0,174,16,30,15,13,13,0.3478,0.0242,0.0279,0.0242,7,0,0,12,7,7,0,7.0,,,,,7,100.0,100.0,100.0,100.0,0.0,12,66.67,75.0,66.67,75.0,25.0,0,0.0,0.0,0.0,12,8,66.67,7,6,85.71,1.8,1.833,0.0003,0.0815,0.0008,0.2084,0.0593,0.0548,0,,
kaiser,GasStation_TUW,920,173,11,75,0.4335,4.202,15.73,197,11,6,13,7,25,54,4,48,4,CARDINAL:1;DATE:2;ORG:1,2.1667,0.944,32.0,66,13,6,0,0,4,0.6842,0.0,0.0,0.0203,5,0,0,10,6,6,0,5.0,,,1.0,,5,100.0,100.0,100.0,100.0,0.0,10,100.0,100.0,100.0,100.0,0.0,0,0.0,0.0,0.0,10,9,90.0,6,6,100.0,2.543,0.833,0.0002,0.0287,0.0004,0.0619,0.0251,0.021,0,,
kaiser,HelpingHands,2624,446,23,201,0.4507,4.774,19.39,497,20,30,6,25,51,155,31,129,28,CARDINAL:1;DATE:4;NORP:1;ORDINAL:4;ORG:15;TIME:3,0.2,0.96,32.0,168,6,30,3,3,28,0.1667,0.006,0.006,0.0563,11,1,0,14,13,8,3,7.0,,5.0,1.0,,11,63.64,72.73,63.64,81.82,18.18,14,57.14,85.71,57.14,78.57,14.29,1,0.0,15.38,15.38,14,11,78.57,13,5,38.46,2.289,2.4,0.0003,0.0757,0.0011,0.1939,0.0561,0.0511,0,,
kaiser,HomeForTheElderly,3740,670,36,236,0.3522,4.422,18.61,775,33,39,35,20,101,188,32,177,12,CARDINAL:3;DATE:2;GPE:1;ORG:3;PERSON:3,0.8974,0.957,32.0,210,35,39,11,3,12,0.473,0.0039,0.0142,0.0155,10,0,0,13,12,10,0,10.0,,,,2.0,10,100.0,100.0,100.0,100.0,0.0,13,61.54,61.54,61.54,92.31,7.69,0,0.0,0.0,0.0,13,8,61.54,12,9,75.0,2.217,2.5,0.0004,0.1102,0.0009,0.3703,0.0975,0.0833,0,,
kaiser,HospitalHouseMD,2103,363,22,146,0.4022,4.678,16.5,410,20,25,9,19,52,93,18,89,15,CARDINAL:11;ORDINAL:1;ORG:3,0.36,0.951,32.0,123,9,25,9,10,15,0.2647,0.0244,0.022,0.0366,6,0,0,3,6,6,0,6.0,,,,,6,100.0,100.0,100.0,100.0,0.0,3,100.0,100.0,100.0,100.0,0.0,0,0.0,0.0,0.0,3,3,100.0,6,5,83.33,3.1,1.8,0.0002,0.0662,0.0003,0.0778,0.0461,0.0435,0,,
kaiser,HotelBookingManagementSystem,2791,458,30,189,0.4127,4.93,15.27,532,20,21,8,24,61,147,40,120,9,CARDINAL:2;ORG:1;PERSON:1;TIME:5,0.381,0.962,32.0,161,8,21,10,10,9,0.2759,0.0188,0.0188,0.0169,15,3,0,22,22,17,2,6.0,,5.0,11.0,,15,93.33,93.33,93.33,100.0,0.0,22,81.82,86.36,81.82,90.91,9.09,11,9.09,0.0,0.0,22,19,86.36,22,19,86.36,2.312,1.421,0.0005,0.078,0.002,0.7736,0.0762,0.0546,0,,
kaiser,House,930,158,10,80,0.5063,4.759,15.8,181,10,12,6,7,21,51,16,51,2,CARDINAL:2,0.5,0.945,32.0,72,6,12,1,1,2,0.3333,0.0055,0.0055,0.011,11,1,0,15,11,4,0,3.0,,5.0,1.0,2.0,11,90.91,100.0,90.91,100.0,0.0,15,93.33,93.33,93.33,93.33,6.67,3,0.0,0.0,0.0,15,9,60.0,11,10,90.91,3.061,1.091,0.0003,0.0295,0.001,0.0713,0.0225,0.0194,0,,
kaiser,Kinepolis,1824,326,20,147,0.4509,4.451,16.3,377,20,13,16,9,37,95,18,80,10,CARDINAL:3;DATE:2;GPE:1;ORDINAL:1;PERSON:1;TIME:2,1.2308,0.947,32.0,123,16,13,14,11,10,0.5517,0.0292,0.0371,0.0265,11,0,0,18,15,15,0,15.0,,,,,11,100.0,100.0,100.0,100.0,0.0,18,50.0,50.0,50.0,72.22,27.78,0,0.0,0.0,0.0,18,9,50.0,15,13,86.67,2.477,1.923,0.0005,0.055,0.0011,0.1853,0.0441,0.039,0,,
kaiser,LabTracker,3203,571,40,192,0.3363,4.466,14.28,651,31,35,8,27,53,182,33,153,11,CARDINAL:2;DATE:5;ORDINAL:1;ORG:1;TIME:2,0.2286,0.952,32.0,170,8,35,10,8,11,0.186,0.0123,0.0154,0.0169,12,3,0,29,13,9,0,9.0,,2.0,,2.0,12,83.33,83.33,83.33,100.0,0.0,29,93.1,96.55,93.1,96.55,3.45,14,57.14,0.0,0.0,29,22,75.86,13,9,69.23,2.57,2.2,0.0005,0.0859,0.0018,1.0632,0.0819,0.0662,0,,
kaiser,Louvre,1667,271,16,142,0.524,5.004,16.94,312,15,11,12,8,28,87,23,71,10,CARDINAL:4;DATE:1;GPE:1;ORDINAL:1;ORG:1;PERSON:2,1.0909,0.952,32.0,127,12,11,4,3,10,0.5217,0.0096,0.0128,0.0321,7,0,0,6,7,7,4,7.0,,,,,7,100.0,100.0,100.0,100.0,0.0,6,0.0,16.67,0.0,33.33,66.67,0,0.0,0.0,0.0,6,1,16.67,7,6,85.71,2.0,1.833,0.0003,0.0487,0.0004,0.0529,0.0342,0.0321,0,,
kaiser,Menso,2845,507,30,210,0.4142,4.436,16.9,596,26,24,19,26,62,170,23,143,25,CARDINAL:2;DATE:5;GPE:1;ORDINAL:1;ORG:9;PERCENT:1;PERSON:1;TIME:2;WORK_OF_ART:3,0.7917,0.956,32.0,185,19,24,12,8,25,0.4419,0.0134,0.0201,0.0419,11,0,0,10,11,11,0,11.0,,,,,11,100.0,100.0,100.0,100.0,0.0,10,70.0,80.0,70.0,90.0,10.0,0,0.0,0.0,0.0,10,7,70.0,11,9,81.82,2.037,1.444,0.0004,0.0838,0.0013,0.4157,0.0739,0.0636,0,,
kaiser,Musicmatic,1936,331,22,157,0.4743,4.68,15.05,386,16,17,9,16,44,99,24,92,10,CARDINAL:2;GPE:1;ORG:3;PRODUCT:4,0.5294,0.959,32.0,141,9,17,13,7,10,0.3462,0.0181,0.0337,0.0259,8,0,1,12,12,6,4,6.0,,4.0,,2.0,8,100.0,100.0,100.0,100.0,0.0,12,83.33,83.33,83.33,83.33,16.67,0,0.0,0.0,0.0,12,6,50.0,12,9,75.0,2.118,1.818,0.0003,0.0595,0.0007,0.1451,0.0489,0.0396,0,,
