dataset,id,rel_kind,n,n_bound,pct_bound
kaiser,AirTravel,association,11,8,72.73
kaiser,AirTravel,directed,0,0,0.0
kaiser,AirTravel,inheritance,3,0,0.0
kaiser,AirTravel,composition,1,1,100.0
kaiser,AirTravel,aggregation,1,0,0.0
kaiser,AirTravel,dependency,2,2,100.0
kaiser,AirTravel,association_class,0,0,0.0
kaiser,AlphaInsurance,association,9,8,88.89
kaiser,AlphaInsurance,directed,0,0,0.0
kaiser,AlphaInsurance,inheritance,0,0,0.0
kaiser,AlphaInsurance,composition,0,0,0.0
kaiser,AlphaInsurance,aggregation,0,0,0.0
kaiser,AlphaInsurance,dependency,2,2,100.0
kaiser,AlphaInsurance,association_class,0,0,0.0
kaiser,BankAccount,association,1,1,100.0
kaiser,BankAccount,directed,1,1,100.0
kaiser,BankAccount,inheritance,2,2,100.0
kaiser,BankAccount,composition,0,0,0.0
kaiser,BankAccount,aggregation,1,1,100.0
kaiser,BankAccount,dependency,0,0,0.0
kaiser,BankAccount,association_class,0,0,0.0
kaiser,Boeing,association,6,6,100.0
kaiser,Boeing,directed,0,0,0.0
kaiser,Boeing,inheritance,0,0,0.0
kaiser,Boeing,composition,0,0,0.0
kaiser,Boeing,aggregation,0,0,0.0
kaiser,Boeing,dependency,0,0,0.0
kaiser,Boeing,association_class,0,0,0.0
kaiser,BuildingManagement,association,0,0,0.0
kaiser,BuildingManagement,directed,7,6,85.71
kaiser,BuildingManagement,inheritance,3,3,100.0
kaiser,BuildingManagement,composition,1,1,100.0
kaiser,BuildingManagement,aggregation,0,0,0.0
kaiser,BuildingManagement,dependency,0,0,0.0
kaiser,BuildingManagement,association_class,0,0,0.0
kaiser,BusTransportationManagementSystem,association,4,4,100.0
kaiser,BusTransportationManagementSystem,directed,0,0,0.0
kaiser,BusTransportationManagementSystem,inheritance,0,0,0.0
kaiser,BusTransportationManagementSystem,composition,0,0,0.0
kaiser,BusTransportationManagementSystem,aggregation,0,0,0.0
kaiser,BusTransportationManagementSystem,dependency,0,0,0.0
kaiser,BusTransportationManagementSystem,association_class,0,0,0.0
kaiser,CardGameApp,association,0,0,0.0
